ts,catalog_views,subscribers,latest_analytics_day,lag_hours,catalog_size
2026-08-23T22:05:27+00:00,3956805,77500,2026-08-21,46.09,110
2026-08-23T22:05:38+00:00,3956810,77500,2026-08-21,46.09,110
2026-08-23T22:05:42+00:00,3956813,77500,2026-08-21,46.1,110
2026-08-23T22:06:22+00:00,3956813,77500,2026-08-21,46.11,110
2026-08-24T03:27:24+00:00,3958530,77500,2026-08-21,51.46,110
2026-08-24T04:23:46+00:00,3958798,77500,2026-08-21,52.4,110
2026-08-24T05:11:41+00:00,3958983,77500,2026-08-21,53.2,110
2026-08-24T05:55:20+00:00,3959171,77500,2026-08-21,53.92,110
2026-08-24T07:03:50+00:00,3959478,77500,2026-08-21,55.06,110
2026-08-24T08:02:54+00:00,3959698,77500,2026-08-21,56.05,110
2026-08-24T09:00:09+00:00,3959953,77500,2026-08-21,57.0,110
2026-08-24T09:57:37+00:00,3960170,77500,2026-08-21,57.96,110
2026-08-24T11:38:36+00:00,3960503,77500,2026-08-21,59.64,110
2026-08-24T13:26:35+00:00,3960858,77500,2026-08-21,61.44,110
2026-08-24T15:07:39+00:00,3961369,77500,2026-08-21,63.13,110
2026-08-24T16:48:40+00:00,3961898,77500,2026-08-21,64.81,110
2026-08-24T18:29:48+00:00,3962471,77500,2026-08-21,66.5,110
2026-08-24T20:11:06+00:00,3963089,77500,2026-08-22,44.19,110
